Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Bank Marketing,contextual_errors,high,automated_cleaning,IQR clipping,0.01412569999229163,36168,36168,0.0,10.58805847167969,10.602184171671981
Bank Marketing,data_heterogeneity,low,automated_cleaning,re-standardise features,0.007790000003296882,36168,36168,0.0,10.040446996688843,10.04823699669214
Bank Marketing,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.007713099999818951,36168,36168,0.0,9.94898009300232,9.956693193002138
Bank Marketing,data_heterogeneity,high,automated_cleaning,re-standardise features,0.007775699981721118,36168,36168,0.0,9.887353658676147,9.895129358657869
Bank Marketing,data_inconsistency,low,automated_cleaning,consistency rules,0.0367794000194408,36168,36168,0.0,10.253700494766235,10.290479894785676
Bank Marketing,data_inconsistency,medium,automated_cleaning,consistency rules,0.036061599996173754,36168,36168,0.0,10.039613246917723,10.075674846913897
Bank Marketing,data_inconsistency,high,automated_cleaning,consistency rules,0.03600890000234358,36168,36168,0.0,10.079585790634155,10.115594690636499
Bank Marketing,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.0041461000218987465,36168,36168,0.0,10.273086309432983,10.277232409454882
Bank Marketing,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.004395200026920065,36168,36168,0.0,10.035733222961426,10.040128422988346
Bank Marketing,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.004474900022614747,36168,36168,0.0,10.272782802581787,10.277257702604402
